Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
Yes,9,No,No,DSL,Yes,Yes,Month-to-month,Yes,72.9,1
No,14,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,82.65,0
No,64,Yes,No,DSL,Yes,Yes,Two year,No,47.85,1
No,72,Yes,Yes,DSL,Yes,Yes,Two year,No,69.65,0
No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,23.6,0
Yes,40,No,No,DSL,Yes,No,Month-to-month,Yes,74.55,0
No,17,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.7,0
No,11,No,No,DSL,No,No,Month-to-month,Yes,44.05,1
No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,73.5,0
Yes,47,Yes,No,DSL,Yes,Yes,One year,No,40.3,0
No,18,Yes,No,DSL,Yes,No,Month-to-month,No,33.6,0
No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,96.25,1
Yes,1,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,70.45,0
No,1,No,No,DSL,No,Yes,Month-to-month,No,30.55,0
No,48,Yes,Yes,DSL,No,No,Month-to-month,Yes,44.8,0
Yes,13,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.0,0
No,17,No,No,Fiber optic,No,No,Month-to-month,No,81.5,1
Yes,58,No,No,Fiber optic,Yes,Yes,Two year,No,94.35,0
No,7,Yes,No,DSL,Yes,No,One year,No,35.3,0
No,4,No,Yes,DSL,No,No,Month-to-month,No,50.7,1
Yes,70,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,106.05,0
Yes,8,No,Yes,DSL,No,Yes,Month-to-month,No,56.3,0
Yes,34,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.65,0
Yes,31,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,98.9,1
Yes,37,Yes,Yes,DSL,Yes,No,Month-to-month,No,40.2,1
Yes,40,No,No,Fiber optic,Yes,No,Month-to-month,Yes,81.2,0
No,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.45,0
No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.1,0
Yes,10,No,No,DSL,Yes,Yes,Month-to-month,No,55.2,1
No,5,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.45,1
No,43,No,No,Fiber optic,No,No,Month-to-month,Yes,84.85,0
No,22,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.6,0
No,33,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,79.0,0
Yes,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.7,0
Yes,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.7,1
No,54,No,Yes,DSL,No,No,Month-to-month,No,30.4,0
No,1,Yes,No,DSL,Yes,No,Month-to-month,Yes,55.8,1
No,63,Yes,Yes,Fiber optic,Yes,Yes,One year,No,104.5,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.55,1
No,71,Yes,Yes,DSL,No,Yes,Two year,No,73.5,0
Yes,55,No,No,DSL,Yes,Yes,Two year,Yes,55.25,0
Yes,13,No,No,Fiber optic,Yes,No,Month-to-month,Yes,96.65,1
No,4,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.85,1
Yes,66,Yes,Yes,Fiber optic,Yes,No,Two year,No,109.25,0
No,56,No,Yes,Fiber optic,Yes,No,Month-to-month,No,104.75,0
No,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.4,1
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,79.4,1
No,69,Yes,No,DSL,Yes,Yes,Two year,No,74.1,0
No,26,No,Yes,DSL,No,Yes,Month-to-month,Yes,73.05,0
No,24,Yes,No,Fiber optic,No,No,Month-to-month,Yes,94.6,0
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,70.35,0
No,51,No,Yes,Fiber optic,No,No,One year,Yes,79.6,0
No,11,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,79.5,0
No,18,No,No,Fiber optic,Yes,No,Month-to-month,Yes,90.7,1
No,10,No,Yes,Fiber optic,No,No,Month-to-month,Yes,81.0,1
No,15,Yes,No,Fiber optic,No,No,Month-to-month,Yes,87.75,0
No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,118.65,0
No,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.8,0
Yes,72,Yes,No,Fiber optic,Yes,No,Two year,No,105.25,0
No,70,No,Yes,DSL,Yes,Yes,Two year,No,57.8,0
No,49,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.0,0
No,28,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,25.7,0
No,72,No,Yes,DSL,Yes,No,Two year,Yes,54.2,1
Yes,34,No,No,DSL,Yes,Yes,Month-to-month,Yes,44.85,0
Yes,10,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.95,0
Yes,28,No,No,Fiber optic,No,No,Month-to-month,Yes,81.05,1
No,32,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.35,0
No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,1
No,37,Yes,Yes,DSL,Yes,Yes,One year,No,67.45,0
No,45,Yes,Yes,Fiber optic,No,No,One year,Yes,100.3,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.95,1
No,42,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,105.2,1
Yes,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,26.35,0
No,61,No,Yes,Fiber optic,No,No,Month-to-month,Yes,82.15,0
Yes,9,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,102.6,0
Yes,59,No,Yes,Fiber optic,Yes,No,One year,Yes,106.15,0
Yes,51,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.95,0
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.8,0
No,67,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.45,0
No,7,No,No,DSL,No,No,Month-to-month,Yes,66.85,0
No,51,No,Yes,Fiber optic,No,No,One year,Yes,90.35,0
No,65,Yes,Yes,Fiber optic,No,Yes,One year,Yes,89.85,0
Yes,0,No,Yes,DSL,Yes,Yes,Two year,No,73.35,0
No,16,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.6,0
No,52,Yes,No,Fiber optic,Yes,Yes,One year,Yes,104.45,0
No,41,No,Yes,DSL,No,Yes,One year,No,35.45,0
No,25,No,Yes,Fiber optic,Yes,No,Month-to-month,No,88.4,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,0
No,17,No,No,Fiber optic,No,No,Month-to-month,No,70.5,0
